ID,POS,Name,Age,Prone,INT,WE,B,T,POT,STU P,MOV P,CONT P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KNP,PIT,VELO,HLD,STM,KCP,Slot,PT,G/F,CON P,GAP P,POW P,EYE P,K P,C ABI,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,RUN,DEM,Sign,SctAcc
1521,C,Mike Veal,21,Durable,Normal,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,35,40,25,45,45,45,55,35,40,50,20,35,40,50,40,20,20,Slot,Very Easy,Very High
1753,SP,Alec Udovich,18,Normal,Normal,Normal,L,L,20,35,30,35,45,-,55,-,-,45,-,-,-,-,-,3,87-89 Mph,60,65,-,Over the Top,Normal,FB,30,35,20,20,45,20,20,30,25,40,20,25,30,35,25,20,25,Slot,Extremely Hard,High
1775,SS,Bobby Lugar,17,Normal,High,Normal,R,R,20,35,30,50,55,25,-,-,45,-,-,-,-,-,-,3,86-88 Mph,65,40,-,Normal (3/4),Normal,NEU,40,40,30,45,50,20,20,35,45,55,40,55,35,55,55,45,30,Slot,Extremely Hard,High
1801,SP,Jeff LaBrasca,22,Durable,Normal,High,L,R,20,35,30,30,-,-,60,-,-,-,50,-,-,-,-,2,89-91 Mph,65,60,-,Normal (3/4),Normal,NEU,25,25,20,25,30,20,20,25,30,55,25,35,30,40,20,20,20,Slot,Normal,High
1813,1B,Jimmy Bush,21,Normal,Normal,Low,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,45,40,45,45,55,20,20,35,45,40,20,35,30,25,45,40,25,Slot,Normal,High
1840,SP,Jonathan Huber,22,Normal,Normal,Low,R,R,20,35,30,35,50,30,60,-,-,-,-,-,-,-,-,3,89-91 Mph,40,70,-,Normal (3/4),Normal,NEU,30,30,20,25,40,20,20,35,40,65,20,45,25,45,25,20,20,Slot,Normal,Very High
1900,CF,Mike Hull,18,Normal,High,Normal,L,L,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,45,35,45,45,25,20,55,45,45,20,60,65,50,70,45,30,Slot,Extremely Hard,Very High
1909,C,Dan Kurowski,21,Fragile,Normal,Low,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,30,30,25,40,35,50,60,30,50,55,25,40,40,55,20,30,20,Slot,Normal,Very High
1916,SP,Ben Southworth,21,Normal,Normal,Low,S,R,20,30,35,40,-,50,-,-,-,-,50,-,-,-,-,2,89-91 Mph,20,60,-,Over the Top,Normal,NEU,40,30,25,25,55,20,20,30,25,55,30,25,30,30,20,20,20,Slot,Normal,High
2030,SP,Bobby Trefz,18,Durable,Normal,Low,R,R,20,35,25,40,-,30,60,-,-,-,45,-,-,-,-,3,87-89 Mph,50,50,-,Over the Top,Normal,NEU,25,30,20,25,35,20,20,35,25,50,20,35,20,20,35,25,30,Slot,Hard,Very High
2084,SP,Jared Laurino,20,Normal,Normal,High,R,R,20,40,25,35,60,50,50,-,-,-,-,-,-,-,-,3,89-91 Mph,40,55,-,Normal (3/4),Normal,NEU,25,30,20,25,30,20,20,25,35,50,25,25,35,30,30,25,20,Slot,Hard,Very High
2158,RP,Dave Vargas,21,Durable,Normal,Low,R,L,20,40,25,40,50,25,-,-,-,-,50,-,-,-,-,3,89-91 Mph,65,35,-,Normal (3/4),Normal,FB,25,30,25,20,30,20,25,35,40,60,20,30,35,40,25,20,25,Slot,Normal,Very High
18504,SP,Andy Pearson,21,Normal,Normal,Low,R,R,20,40,25,35,50,30,60,-,-,-,-,-,-,-,-,3,88-90 Mph,20,55,-,Normal (3/4),Normal,FB,30,30,20,25,45,20,20,30,35,55,25,30,40,30,35,20,20,Slot,Normal,Very High
18820,SP,Jake Mather,17,Normal,Normal,Low,R,R,20,30,25,35,45,25,-,60,-,-,-,-,-,-,-,3,84-86 Mph,60,65,-,Over the Top,Normal,FB,20,30,20,25,20,20,25,30,35,55,35,40,30,40,25,20,20,Slot,Extremely Hard,Very High
19187,SP,JIM BERG,21,Normal,High,High,L,L,40,50,45,50,65,-,-,50,-,45,60,-,-,-,-,4,94-96 Mph,70,55,-,Normal (3/4),Normal,NEU,30,25,25,25,35,25,20,35,30,50,20,45,25,45,30,20,20,$700k,Normal,Very High
19448,RP,Jamie Reagan,18,Normal,Normal,High,R,R,20,35,25,45,45,50,-,45,-,-,40,-,-,-,-,4,86-88 Mph,25,35,-,Normal (3/4),Normal,NEU,30,30,20,25,45,20,20,35,25,70,30,45,30,35,35,20,20,Slot,Extremely Hard,High
19522,C,Randy Stein,18,Normal,Low,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,30,30,50,40,45,45,30,30,40,20,25,30,35,25,30,35,Slot,Extremely Hard,Very High
19531,C,Orlando Sims,21,Durable,Normal,Low,R,R,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,35,35,35,35,45,50,50,30,25,40,25,25,50,40,45,45,45,Slot,Easy,Very High
19595,SP,Jose Sierra,18,Normal,Normal,Normal,R,L,20,30,30,40,40,-,45,45,-,-,-,-,30,-,-,4,85-87 Mph,55,60,-,Over the Top,Normal,FB,30,25,20,20,40,20,20,30,35,65,20,45,30,30,25,20,20,Slot,Extremely Hard,Very High
19857,2B,Steve Fraley,21,Normal,Normal,Normal,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Sidearm,Normal,FB,35,30,35,45,50,25,20,65,65,40,50,45,50,40,60,65,55,Slot,Extremely Hard,High
19903,SP,Jonathan Franklin,22,Normal,Low,Low,L,L,20,30,25,35,40,40,30,45,-,-,-,-,-,-,-,4,87-89 Mph,70,70,-,Normal (3/4),Normal,NEU,35,30,20,20,55,20,20,35,20,45,20,35,25,30,35,20,20,Slot,Hard,Very High
20133,SP,Eric Francis,21,Normal,High,Low,R,R,20,40,30,35,55,25,60,-,-,-,-,-,-,-,-,3,90-92 Mph,50,60,-,Over the Top,Normal,NEU,25,30,20,20,30,20,20,35,40,50,20,30,30,30,20,20,20,Slot,Normal,High
20605,C,OMAR LOPEZ,18,Normal,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,40,35,40,55,55,30,30,30,30,20,30,30,30,30,20,20,Slot,Extremely Hard,High
20803,SP,ELIJAH GREEN,17,Normal,Normal,Normal,R,R,45,45,55,50,55,45,-,-,-,55,-,-,-,-,-,4,94-96 Mph,55,60,50,Normal (3/4),Normal,NEU,20,30,25,20,25,20,20,30,30,40,25,25,40,35,20,20,20,$1.1m,Extremely Hard,Very High
20927,1B,Jon O'Neal,17,Normal,Normal,Normal,L,L,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,45,35,35,45,60,20,20,35,40,35,20,45,30,40,30,35,25,Slot,Extremely Hard,Very High
21031,SP,JONATHAN STEELE,22,Normal,Normal,Normal,R,R,35,45,40,40,55,50,50,50,-,-,-,50,-,-,-,5,94-96 Mph,30,50,-,Normal (3/4),Normal,NEU,30,30,20,25,35,20,20,25,50,45,40,25,45,35,25,20,20,Slot,Hard,Very High
21060,SS,Mike Green,21,Normal,Normal,Normal,R,R,25,40,30,35,55,25,-,60,-,-,-,-,-,-,-,3,89-91 Mph,30,70,-,Normal (3/4),Normal,FB,30,35,25,40,45,20,20,65,60,50,60,45,50,45,40,20,30,Slot,Easy,High
21082,SP,Mike Parfitt,21,Durable,Normal,High,L,L,20,40,25,40,45,50,-,60,-,-,-,-,-,-,-,3,88-90 Mph,65,70,-,Normal (3/4),Normal,FB,35,30,20,30,55,20,20,25,30,40,20,35,30,30,25,20,25,Slot,Normal,High
21302,3B,R.J. Belisle,22,Normal,High,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,30,40,30,45,20,20,45,45,70,35,30,50,65,30,35,30,Slot,Hard,High
21317,SP,Josh Williamson,22,Normal,High,High,R,R,20,35,30,30,50,45,-,50,-,-,-,-,-,-,-,3,87-89 Mph,45,65,-,Normal (3/4),Normal,NEU,35,25,20,25,50,20,20,30,30,60,25,35,35,35,20,20,20,Slot,Easy,Very High
21330,RP,Eric Tully,21,Normal,Normal,Normal,R,R,20,35,30,40,45,50,25,-,-,-,-,-,-,-,-,3,87-89 Mph,60,25,-,Normal (3/4),Normal,NEU,25,35,25,25,30,20,20,35,45,40,25,45,30,30,25,20,30,Slot,Normal,Very High
21594,RP,Chase Tate,21,Normal,Normal,High,R,R,20,30,25,35,40,-,40,40,-,35,-,-,-,-,-,4,89-91 Mph,25,45,-,Over the Top,Normal,NEU,35,30,20,20,45,20,20,30,30,50,25,30,30,25,30,20,20,Slot,Normal,High
21667,SP,Eric Flynn,18,Normal,Normal,Normal,R,R,20,30,30,35,40,-,55,-,-,45,-,-,-,-,-,3,84-86 Mph,65,55,-,Over the Top,Normal,FB,25,30,20,20,30,20,20,25,35,50,35,25,25,35,25,20,25,Slot,Extremely Hard,Very High
22055,SP,Nate Royer,18,Durable,Normal,Low,S,R,20,35,25,35,50,50,-,-,-,-,45,-,-,-,-,3,86-88 Mph,65,60,-,Normal (3/4),Normal,FB,20,25,20,25,25,20,20,30,30,55,25,30,30,35,25,20,30,Slot,Hard,Very High
22093,RP,Dale Beck,21,Normal,Normal,Low,R,R,20,35,25,35,40,45,-,-,-,45,-,-,-,-,-,3,88-90 Mph,25,50,-,Sidearm,Normal,FB,20,25,20,25,25,20,20,40,35,55,25,35,40,25,20,20,20,Slot,Normal,High
22117,C,Josh Peterson,18,Normal,High,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,40,25,45,35,55,40,45,30,35,25,30,30,35,30,35,40,Slot,Extremely Hard,Very High
