Ovr,Range,Error,Arm
25,65,30,55,
70,80,75,60,
70,80,60,70,
0,30,55,30,
5,45,60,35,
5,35,35,60,
5,30,30,80,
55,65,50,55,
30,55,45,50,
40,55,75,60,
10,70,35,40,
0,40,30,45,
15,40,30,70,
70,80,70,70,
30,45,45,60,
10,35,75,55,
35,45,80,60,
35,50,60,60,
32,55,70,50,
25,65,50,45,
0,35,55,30,
0,20,35,35,
15,45,55,55,
65,80,45,60,
60,75,30,65,
70,75,50,60,
70,65,65,80,
3,75,35,25,
0,30,55,35,
5,65,50,35,
20,35,65,70,
55,60,55,65,
5,35,75,45,
0,65,30,30,
5,55,30,45,
0,40,35,65,
20,45,40,70,
30,60,50,55,
0,25,30,45,
0,50,80,30,
5,60,25,60,
10,30,45,70,
10,40,60,60,
15,65,30,65,
5,30,60,60,
10,80,20,60,
15,30,40,75,
5,40,60,50,
0,40,35,20,
0,40,30,40,
3,65,35,30,
5,35,70,50,
70,70,75,70,
40,40,75,65,
30,50,65,55,
70,75,55,75,
68,65,75,75,
65,70,65,50,
2,30,40,40,
15,65,45,45,
15,70,45,40,
0,35,60,30,
25,50,65,50,
20,65,45,45,
35,40,60,75,
0,75,70,20,
15,70,30,55,
20,50,50,55,
55,70,55,60,
60,55,55,75,
50,50,40,75,
70,80,70,70,
60,65,70,60,
0,30,65,35,
15,70,65,45,
0,35,50,45,
15,45,70,55,
30,65,60,50,
5,55,35,40,
15,55,40,60,
50,80,70,45,
5,65,35,40,
5,45,45,55,
60,75,50,60,
45,60,70,50,
30,30,75,80,
5,50,45,40,
10,60,30,50,
0,55,25,50,
50,45,40,80,
60,75,65,60,
30,50,45,60,
0,35,55,25,
15,50,50,55,
0,65,20,25,
20,30,55,70,
70,75,55,65,
0,30,20,25,
5,45,45,45,
