Ovr,Stuff,Movement,Control
78,80,50,55
33,65,35,55
19,40,45,60
56,55,60,60
49,50,70,55
4,70,20,65
55,60,55,55
79,70,80,60
41,55,35,75
0,20,60,65
34,55,45,50
31,65,70,35
0,30,25,50
37,60,50,45
0,50,40,25
55,55,75,50
0,25,65,65
80,80,75,50
65,70,50,60
55,60,50,55
4,35,50,55
68,75,50,65
26,50,50,45
12,40,65,55
57,60,50,65
7,35,45,70
57,55,60,65
51,60,45,60
46,65,35,70
0,40,25,40
73,70,75,65
0,35,35,35
7,35,65,50
0,35,80,30
27,55,65,40
33,45,75,50
71,70,45,80
56,50,65,70
9,35,60,75
60,70,75,45
0,30,60,40
9,80,20,65
47,70,40,75
26,45,55,50
19,45,45,55
50,75,70,40
14,70,55,30
49,60,75,45
47,65,40,70
26,40,70,55
48,55,70,45
73,70,50,70
41,65,35,65
24,80,40,35
66,60,65,75
37,60,60,45
4,45,65,30
55,80,45,50
24,55,40,50
6,60,25,75
18,50,40,55
14,50,65,30
0,70,55,20
56,55,65,60
50,70,60,45
41,75,35,60
21,60,70,30
54,55,50,65
0,35,35,20
64,55,80,70
31,60,70,40
3,35,50,50
0,35,25,40
7,40,40,50
63,60,65,75
0,30,40,55
0,40,40,35
45,55,65,45
30,45,65,55
0,60,30,30
0,60,25,60
0,60,60,25
4,70,60,25
3,70,25,55
48,65,55,45
