Ovr,Range,Error,Arm,Dp
3,50,75,50,70
87,70,70,75,70
0,35,60,50,25
30,60,70,70,75
0,25,65,80,70
8,50,70,70,65
22,60,45,65,80
7,70,75,55,20
97,80,60,55,70
48,75,60,35,60
14,55,65,50,50
19,55,60,65,55
25,60,80,75,50
18,60,80,55,50
30,65,55,60,35
88,80,65,50,55
91,80,65,70,55
26,60,50,60,55
29,60,50,75,55
7,65,75,60,25
13,80,45,75,20
86,80,55,50,55
3,40,80,65,75
0,65,25,80,60
0,75,20,20,75
66,70,60,60,60
78,70,60,75,60
4,50,80,70,35
70,70,80,50,75
63,70,80,45,75
29,60,70,75,55
6,55,35,70,70
3,50,55,75,40
68,80,60,80,35
53,80,55,45,40
0,45,60,55,45
0,50,70,40,50
6,60,45,50,60
8,50,70,70,55
81,75,50,55,65
90,75,50,80,65
29,60,80,60,60
15,55,50,75,75
34,80,55,30,60
55,70,75,45,50
71,75,80,65,45
3,45,80,80,50
0,35,65,45,75
15,55,75,60,60
4,50,70,45,45
93,75,80,75,55
15,75,30,60,60
57,70,45,75,55
20,60,70,65,50
80,80,45,50,75
99,80,80,50,65
3,50,50,45,45
33,65,35,70,60
4,35,50,70,70
80,80,60,45,55
47,80,35,45,50
0,40,65,55,30
75,75,55,50,80
38,60,50,75,70
22,60,55,60,55
5,45,75,60,60
0,50,55,30,20
97,80,60,70,75
0,50,55,55,20
67,70,65,70,45
0,30,60,60,75
12,50,75,75,50
2,50,65,40,75
54,75,75,30,60
51,70,35,70,35
0,35,75,70,45
6,50,75,60,80
93,80,50,65,50
45,80,70,35,30
9,55,50,75,40
0,40,80,50,35
91,80,60,65,45
29,65,60,45,65
4,50,50,50,65
0,70,20,40,35
35,55,70,80,70
0,40,50,50,40
45,65,55,55,55
51,65,60,60,60
